LSOA_code,Total: All households,Household is not deprived in any dimension,Household is deprived in one dimension,Household is deprived in two dimensions,Household is deprived in three dimensions,Household is deprived in four dimensions
E01011698 : Leeds 001A,632,353,209,61,9,0
E01011699 : Leeds 001B,575,361,173,40,1,0
E01011701 : Leeds 001C,596,357,178,49,12,0
E01011702 : Leeds 001D,664,459,167,33,4,1
E01011703 : Leeds 001E,565,334,191,37,3,0
E01011697 : Leeds 002A,688,407,189,69,22,1
E01011700 : Leeds 002B,602,317,206,60,19,0
E01011704 : Leeds 002C,1145,578,370,146,50,1
E01011705 : Leeds 002D,639,249,241,109,37,3
E01011581 : Leeds 003A,731,393,260,69,9,0
E01011582 : Leeds 003B,742,269,259,168,43,3
E01011583 : Leeds 003C,646,378,207,50,11,0
E01011584 : Leeds 003D,757,443,234,70,10,0
E01011569 : Leeds 004A,894,498,279,99,18,0
E01011571 : Leeds 004B,757,411,247,79,20,0
E01011572 : Leeds 004C,829,490,256,68,15,0
E01011573 : Leeds 004D,543,303,166,60,14,0
E01011574 : Leeds 004E,698,323,213,134,27,1
E01011707 : Leeds 005A,595,303,206,73,13,0
E01011709 : Leeds 005B,845,514,241,76,14,0
E01011710 : Leeds 005C,627,381,193,43,10,0
E01011711 : Leeds 005D,659,386,198,60,12,3
E01011712 : Leeds 005E,610,353,196,53,8,0
E01011561 : Leeds 006A,527,348,132,43,4,0
E01011696 : Leeds 006B,658,403,199,49,6,1
E01011706 : Leeds 006C,619,433,161,22,3,0
E01011708 : Leeds 006D,626,387,182,46,11,0
E01011713 : Leeds 006E,708,468,202,35,2,1
E01011570 : Leeds 007A,958,576,291,80,11,0
E01011576 : Leeds 007C,580,401,127,44,7,1
E01032503 : Leeds 007E,609,378,188,41,2,0
E01032504 : Leeds 007F,747,468,217,55,7,0
E01011266 : Leeds 008A,1139,804,273,55,6,1
E01011270 : Leeds 008B,678,441,189,44,3,1
E01011279 : Leeds 008C,580,326,186,56,11,1
E01011280 : Leeds 008D,842,525,249,60,8,0
E01011265 : Leeds 009A,910,533,252,107,16,2
E01011267 : Leeds 009B,723,335,237,122,27,2
E01011271 : Leeds 009C,893,563,254,67,9,0
E01011272 : Leeds 009D,566,333,193,34,6,0
E01011268 : Leeds 010A,631,234,218,121,56,2
E01011273 : Leeds 010B,724,421,202,79,22,0
E01011274 : Leeds 010C,669,232,258,128,48,3
E01011275 : Leeds 010D,609,282,230,74,21,2
E01011264 : Leeds 011A,577,253,212,92,19,1
E01011269 : Leeds 011B,756,340,259,128,29,0
E01011276 : Leeds 011C,795,436,262,88,9,0
E01011578 : Leeds 011D,623,307,213,90,13,0
E01011554 : Leeds 012A,586,366,169,48,3,0
E01011562 : Leeds 012B,625,364,212,43,6,0
E01011563 : Leeds 012C,612,377,184,46,5,0
E01011564 : Leeds 012D,607,384,171,49,3,0
E01011567 : Leeds 012E,559,375,142,40,2,0
E01011376 : Leeds 013A,678,434,194,44,6,0
E01011377 : Leeds 013B,604,332,201,64,7,0
E01011378 : Leeds 013C,698,225,241,163,67,2
E01011382 : Leeds 013D,746,442,229,71,3,1
E01011277 : Leeds 014A,641,408,172,52,9,0
E01011278 : Leeds 014B,738,466,201,66,5,0
E01011579 : Leeds 014C,522,293,166,56,6,1
E01011580 : Leeds 014D,621,374,173,63,11,0
E01011556 : Leeds 015A,791,463,225,87,14,2
E01011557 : Leeds 015B,610,354,181,57,15,3
E01011565 : Leeds 015C,598,351,194,44,9,0
E01011566 : Leeds 015D,556,327,158,65,6,0
E01011568 : Leeds 015E,909,488,297,113,9,2
E01011380 : Leeds 016A,675,408,210,47,9,1
E01011381 : Leeds 016B,565,358,173,33,1,0
E01011385 : Leeds 016C,533,312,161,47,13,0
E01011386 : Leeds 016D,747,496,197,49,5,0
E01011379 : Leeds 017A,760,275,280,151,53,1
E01011384 : Leeds 017B,665,326,227,82,28,2
E01032501 : Leeds 017E,511,309,155,44,3,0
E01032502 : Leeds 017F,852,359,275,149,68,1
E01011555 : Leeds 018A,564,342,172,43,6,1
E01011558 : Leeds 018B,738,271,259,158,47,3
E01011559 : Leeds 018C,589,193,210,147,39,0
E01011560 : Leeds 018D,867,259,323,208,75,2
E01011383 : Leeds 019A,754,390,249,89,26,0
E01011388 : Leeds 019B,731,397,204,105,24,1
E01011684 : Leeds 019C,652,348,218,68,18,0
E01011695 : Leeds 019D,726,216,273,172,59,6
E01011650 : Leeds 020A,603,381,169,42,9,2
E01011651 : Leeds 020B,638,374,183,60,21,0
E01011653 : Leeds 020C,633,383,193,45,10,2
E01011655 : Leeds 020D,724,446,213,60,5,0
E01011455 : Leeds 021A,478,306,140,28,4,0
E01011456 : Leeds 021B,671,407,219,42,3,0
E01011459 : Leeds 021C,769,443,245,69,11,1
E01011461 : Leeds 021D,613,381,179,49,4,0
E01011311 : Leeds 022A,483,327,127,27,2,0
E01011649 : Leeds 022B,657,424,195,33,5,0
E01011715 : Leeds 022C,581,328,195,52,6,0
E01011719 : Leeds 022D,632,318,225,81,7,1
